;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congreso | Marzo 1979 | Resultados por circunscripción;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;UNION DE CENTRO DEMOCRATICO;;PARTIDO SOCIALISTA OBRERO ESPAÑOL;;PARTIDO COMUNISTA DE ESPAÑA;;COALICION DEMOCRATICA;;COALICION CONVERGENCIA Y UNIO;;PARTIDO UNION NACIONAL;;PARTIDO ANDALUCISTA;;EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO;;PARTIDO DEL TRABAJO DE ESPAÑA;;HERRI BATASUNA;;PART. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO);;ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES;;ESQUERRA REPUBLICANA DE CATALUNYA - FRONT NACIONAL;;EUSKADIKO EZKERRA;;MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA;;BLOQUE NACIONAL POPULAR GALLEGO;;UNION DEL PUEBLO CANARIO;;BLOC D'ESQUERRAD'ALLIBERAMENT NACIONAL;;UNIDADE GALEGA;;IZQUIERDA REPUBLICANA;;PARTIDO CARLISTA;;ORGANIZ. COMUNISTA DE ESPAÑA B.R.-UNIF.COMUNISTA;;PARTIDO COMUNISTA DE LOS TRABAJADORES;;PARTIDO ARAGONES REGIONALISTA;;LIGA COMUNISTA REVOLUCIONARIA;;UNION FORAL PAIS VASCO;;FALANGE ESPAÑOLA DE LAS JONS AUTENTICA;;UNION DEL PUEBLO NAVARRO;;COALICION POR ARAGON;;PARTIDO NACIONALISTA DE CASTILLA Y LEON;;PARTIDO LIBERAL;;UNIO REGIONAL VALENCIANISTA;;PARTIT NACIONALISTA DEL PAIS VALENCIA;;UNION NAVARRA DE IZQUIERDA;;PARTIDO RURALISTA ESPAÑOL;;PARTIDO DEL PAIS CANARIO;;SOCIALISTAS DE MALLORCA I MENORCA;;PARTIDO SINDICALISTA;;UNION PARA LA LIBERTAD DE EXPRESION;;ESTAT CATALA;;PARTIDO CANTONAL;;CANDIDATURA INDEPENDIENTE DEL CAMPO;;DEMOCRACIAL SOCIAL CRISTIANA DE CATALUÑA;;PARTIDO PROVERISTA;;ACCION REPUBLICANA DEMOCRATICA ESPAÑOLA;;LIGA COMUNISTA;;CONCEYU NACIONALISTA ASTUR;;FALANGE ESPAÑOLA AUTENTICA;;PARTIDO INDEPENDIENTE PRO POLITICA AUSTERA;;PARTIDO OBRERO Y CAMPESINO;;CANDIDATOS INDEPENDIENTES;;FALANGE ESPAÑOLA INDEPENDIENTE-UNIDAD FALANGISTA;;FALANGE ESPAÑOLA - UNIDAD FALANGISTA;
;;;;;;;;;;;UCD;;PSOE;;PCE;;CD;;CIU;;UN;;PSA-PA;;PNV;;PTE;;HB;;PSOE-H;;ORT;;ERFN;;EE;;MC-OIC;;BNPG;;C-UPC;;BEAN;;PG-POG-PSG;;IR;;PCARL;;OCEBR-UCE;;PCT;;PAR;;LCR;;UFV;;FJONSA;;UPN;;PSAR - PSDA;;PANCAL;;PLIB;;URV;;PNPV;;UNAI;;PRE;;PDPCAN;;SMIM;;PSIN;;ULE;;E CATALA;;P-CANT;;CIC;;DSCC;;PPROV;;ARDE;;LC;;CNA;;FEA;;PIPPA;;POC;;CIME;;UF-FI-AT;;FE-UF;
Nombre de Comunidad;Código de Provincia;Nombre de Provincia;Población;Número de mesas;Total censo electoral;Total votantes;Votos válidos;Votos a candidaturas;Votos en blanco;Votos nulos;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados
Andalucía                     ;4;Almería                                           ;411.665;393;278.280;184.489;182.899;182.539;360;1.590;80.854;3;67.782;2;13.534;0;8.067;0;0;0;3.097;0;5.074;0;0;0;872;0;0;0;0;0;302;0;0;0;0;0;731;0;0;0;0;0;0;0;0;0;413;0;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;11;Cádiz                                             ;999.129;1.012;643.731;422.011;413.958;412.986;972;8.053;121.800;2;124.693;3;43.824;1;13.465;0;0;0;4.538;0;81.598;2;0;0;13.254;0;0;0;1.732;0;970;0;0;0;0;0;1.040;0;0;0;0;0;0;0;0;0;729;0;661;0;1.133;0;1.458;0;0;0;767;0;0;0;617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;14;Córdoba                                           ;744.359;753;512.633;373.627;369.849;369.281;568;3.778;110.734;3;111.237;3;70.554;1;20.909;0;0;0;7.427;0;36.826;0;0;0;4.080;0;0;0;3.168;0;467;0;0;0;0;0;1.078;0;0;0;0;0;0;0;0;0;581;0;0;0;1.063;0;634;0;0;0;0;0;0;0;523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;18;Granada                                           ;771.227;668;524.797;360.733;358.073;357.633;440;2.660;131.107;3;128.002;3;45.384;1;16.958;0;0;0;4.381;0;22.136;0;0;0;3.161;0;0;0;2.123;0;304;0;0;0;0;0;1.066;0;0;0;0;0;0;0;0;0;390;0;174;0;1.412;0;0;0;0;0;430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;418;0;0;0;0;0;0;0
Andalucía                     ;21;Huelva                                            ;422.092;417;282.075;186.498;184.404;184.072;332;2.094;68.756;3;65.302;2;12.913;0;6.080;0;0;0;3.010;0;17.720;0;0;0;1.099;0;0;0;2.009;0;4.330;0;0;0;0;0;505;0;0;0;0;0;0;0;0;0;0;0;375;0;393;0;539;0;0;0;718;0;0;0;314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;23;Jaén                                              ;671.563;661;464.993;332.326;329.075;328.718;357;3.251;111.209;3;137.861;3;42.466;1;11.752;0;0;0;9.294;0;11.335;0;0;0;1.388;0;0;0;1.088;0;398;0;0;0;0;0;528;0;0;0;0;0;0;0;0;0;422;0;0;0;398;0;579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;29;Málaga                                            ;989.971;1.015;651.876;419.157;413.179;412.302;877;5.978;120.201;3;148.497;3;53.036;1;16.304;0;0;0;7.338;0;49.552;1;0;0;6.948;0;0;0;4.628;0;605;0;0;0;0;0;1.408;0;0;0;0;0;0;0;0;0;953;0;466;0;932;0;1.174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;41;Sevilla                                           ;1.452.450;1.854;978.772;698.818;692.141;691.090;1.051;6.677;191.099;4;203.468;4;110.731;2;32.428;0;0;0;9.225;0;101.601;2;0;0;27.337;0;0;0;3.706;0;1.086;0;0;0;0;0;1.031;0;0;0;0;0;0;0;0;0;741;0;0;0;4.271;0;1.134;0;0;0;774;0;0;0;1.029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;443;0;0;0;0;0;0;0;0;0;0;0;986;0;0;0;0;0;0;0
Aragón                        ;22;Huesca                                            ;217.244;399;168.014;119.654;117.782;117.320;462;1.872;56.449;2;40.885;1;7.724;0;5.280;0;0;0;900;0;0;0;0;0;665;0;0;0;1.017;0;263;0;0;0;0;0;629;0;0;0;0;0;0;0;0;0;1.308;0;166;0;247;0;0;0;0;0;177;0;0;0;247;0;0;0;1.363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aragón                        ;44;Teruel                                            ;157.996;323;122.441;85.295;84.350;83.902;448;945;46.775;2;22.886;1;2.737;0;6.971;0;0;0;2.000;0;0;0;0;0;475;0;0;0;0;0;151;0;0;0;0;0;247;0;0;0;0;0;0;0;0;0;246;0;197;0;152;0;322;0;0;0;128;0;0;0;0;0;0;0;615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aragón                        ;50;Zaragoza                                          ;820.853;1.169;609.306;431.657;424.731;423.096;1.635;6.926;153.457;4;113.600;3;34.000;0;22.969;0;0;0;7.843;0;0;0;0;0;19.883;0;0;0;4.022;0;2.432;0;0;0;0;0;2.780;0;0;0;0;0;0;0;0;0;2.086;0;872;0;756;0;1.416;0;38.042;1;788;0;0;0;908;0;0;0;17.242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Principado de Asturias        ;33;Asturias                                          ;1.162.712;1.442;868.893;545.179;537.364;536.168;1.196;7.815;177.459;4;200.346;4;73.744;1;46.365;1;0;0;11.178;0;0;0;0;0;1.489;0;0;0;3.101;0;2.518;0;0;0;0;0;6.003;0;0;0;0;0;0;0;0;0;1.740;0;0;0;1.149;0;3.102;0;0;0;1.312;0;0;0;1.623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.049;0;0;0;0;0;0;0;0;0;1.188;0;0;0
Illes Balears                 ;7;Illes Balears                                     ;634.248;870;452.061;314.850;300.331;299.197;1.134;14.519;146.927;4;88.232;2;14.757;0;27.554;0;0;0;3.165;0;0;0;0;0;1.793;0;0;0;0;0;1.070;0;0;0;0;0;1.179;0;0;0;0;0;0;0;0;0;0;0;1.257;0;0;0;1.544;0;0;0;893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.022;0;0;0;804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canarias                      ;35;Las Palmas                                        ;685.799;936;421.003;296.783;287.790;286.766;1.024;8.993;171.842;4;41.616;1;8.245;0;8.607;0;0;0;2.218;0;0;0;0;0;1.315;0;0;0;0;0;1.165;0;0;0;0;0;0;0;0;0;38.304;1;0;0;0;0;1.019;0;774;0;0;0;0;0;0;0;826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.099;0;0;0;0;0;736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canarias                      ;38;Santa Cruz de Tenerife                            ;694.628;751;474.841;250.940;246.409;245.740;669;4.531;139.908;5;53.604;2;11.560;0;11.204;0;0;0;3.482;0;0;0;0;0;1.644;0;0;0;0;0;1.796;0;0;0;0;0;0;0;0;0;20.649;0;0;0;0;0;0;0;852;0;0;0;0;0;0;0;1.041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cantabria                     ;39;Cantabria                                         ;510.460;806;375.666;264.658;259.307;258.132;1.175;5.351;108.552;3;78.512;2;17.140;0;26.707;0;0;0;10.106;0;0;0;0;0;4.014;0;0;0;3.735;0;3.267;0;0;0;0;0;872;0;0;0;0;0;0;0;0;0;643;0;1.013;0;772;0;0;0;0;0;752;0;0;0;1.387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;660;0
Castilla - La Mancha          ;2;Albacete                                          ;340.797;499;238.682;170.678;169.109;168.750;359;1.569;65.883;2;65.465;2;20.945;0;8.224;0;0;0;3.753;0;0;0;0;0;455;0;0;0;2.205;0;284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311;0;241;0;481;0;338;0;0;0;165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;13;Ciudad Real                                       ;495.903;593;360.747;246.203;243.851;243.398;453;2.352;100.896;3;95.996;2;19.171;0;11.659;0;0;0;10.004;0;0;0;0;0;2.238;0;0;0;0;0;1.296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;388;0;840;0;0;0;0;0;0;0;0;0;910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;16;Cuenca                                            ;226.573;344;167.946;124.450;122.718;122.200;518;1.732;64.273;3;38.654;1;10.049;0;7.388;0;0;0;0;0;0;0;0;0;265;0;0;0;0;0;319;0;0;0;0;0;196;0;0;0;0;0;0;0;0;0;0;0;177;0;181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;698;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;19;Guadalajara                                       ;143.003;404;108.095;78.357;77.458;77.172;286;899;36.361;2;18.155;1;6.699;0;8.416;0;0;0;5.131;0;0;0;0;0;301;0;0;0;666;0;513;0;0;0;0;0;107;0;0;0;0;0;0;0;0;0;0;0;0;0;421;0;0;0;0;0;0;0;0;0;156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;45;Toledo                                            ;479.141;497;345.126;268.645;265.700;265.201;499;2.945;110.700;3;85.288;2;28.961;0;14.933;0;0;0;19.383;0;0;0;0;0;1.692;0;0;0;1.753;0;1.421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;5;Ávila                                             ;194.540;312;146.183;103.007;101.805;101.306;499;1.202;67.001;3;20.341;0;3.661;0;6.995;0;0;0;1.599;0;0;0;0;0;265;0;0;0;0;0;278;0;0;0;0;0;429;0;0;0;0;0;0;0;0;0;0;0;109;0;0;0;271;0;0;0;125;0;0;0;232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;9;Burgos                                            ;365.940;826;269.771;183.336;180.249;179.223;1.026;3.087;95.425;3;41.394;1;7.189;0;14.759;0;0;0;6.900;0;0;0;0;0;2.215;0;0;0;2.250;0;2.288;0;0;0;0;0;1.139;0;0;0;0;0;0;0;0;0;0;0;499;0;0;0;0;0;0;0;837;0;0;0;729;0;0;0;0;0;2.636;0;0;0;0;0;0;0;0;0;963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
